Item,Storage Location,Category,Meal Planning,Note
Ground cloves,Pantry,Dried Herbs and Spices,,
Ground cumin,Pantry,Dried Herbs and Spices,,
Ground ginger,Pantry,Dried Herbs and Spices,,
Ground turkey,Freezer,Meat,,
Honey,Pantry,Sugar & Sweeteners,,
"Hot sauce: Tabasco, Sriracha or sambal",Pantry/Refrigerator,Condiments,,
"Jelly, jam or preserves",Pantry/Refrigerator,Condiments,,
Kale,Refrigerator,Fresh Produce - Vegetable,,
Ketchup,Pantry/Refrigerator,Condiments,,
Kosher salt,Pantry,Dried Herbs and Spices,,
Lemons,Refrigerator,Fresh Produce - Fruits,,
Lettuce,Refrigerator,Fresh Produce - Vegetable,,
Limes,Refrigerator,Fresh Produce - Fruits,,
Long-grain white rice,Pantry,Rice and Grains,Dinner,
Frozen mango,Freezer,Frozen Produce,,
Dried mango,Pantry,Dried Fruit/Nuts,,
Maple syrup,Pantry,Sugar & Sweeteners,,
Marshmallows,Pantry,Snacks and Cereals,,
Mayonnaise,Pantry/Refrigerator,Condiments,,
"Milk, 2% Lactose-Free",Refrigerator,Dairy and Eggs,,Prefer the Walmart brand.
"Milk, Coconut",Refrigerator,Dairy and Eggs,,
"Milk, Soy",Refrigerator,Dairy and Eggs,,
Mustard: Dijon or whole grain,Pantry/Refrigerator,Condiments,,
"Oats, Stone Cut",Pantry,Snacks and Cereals,Breakfast,
"Oats, Instant",Pantry,Snacks and Cereals,Breakfast,
"Oats, Quick",Pantry,Snacks and Cereals,Breakfast,
Olives or capers,Pantry,Canned Goods,,
Onions,Pantry,Fresh Produce - Aromatics,,
Orange juice,Refrigerator,Drinks,,
Oranges,Refrigerator,Fresh Produce - Fruits,,
Oregano,Pantry,Dried Herbs and Spices,,
Dried papaya,Pantry,Dried Fruit/Nuts,,
Paprika: sweet and smoked,Pantry,Dried Herbs and Spices,,
Parmesan (wedge),Refrigerator,Dairy and Eggs,,
Pasta,Pantry,Pasta,,
Frozen peaches,Freezer,Frozen Produce,,
Peanut butter or almond butter,Pantry,Snacks and Cereals,,
Pecans,Pantry,Dried Fruit/Nuts,,
Pickles,Pantry/Refrigerator,Condiments,,
Dried pineapple,Pantry,Dried Fruit/Nuts,,
Yogurt,Refrigerator,Dairy and Eggs,,
Grits,Pantry,Rice and Grains,,
Polenta,Pantry,Rice and Grains,,
Popcorn kernels,Pantry,Snacks and Cereals,,
"Potatoes, New",Pantry,Fresh Produce - Vegetable,,
"Potatoes, Sweet",Pantry,Fresh Produce - Vegetable,,
"Potatoes, White",Pantry,Fresh Produce - Vegetable,,
Pretzels,Pantry,Snacks and Cereals,,
Pure vanilla extract,Pantry,Baking,,
Quinoa,Pantry,Rice and Grains,Dinner,
Raisins,Pantry,Dried Fruit/Nuts,,
Ramen noodles,Pantry,Pasta,,
Red wine vinegar,Pantry,Basics,,
Rice vinegar (unseasoned),Pantry,Basics,,
Roasted red peppers,Pantry,Canned Goods,,
Rosemary,Pantry,Dried Herbs and Spices,,
Salmon,Freezer,Seafood,Dinner,
Salsa,Pantry,Canned Goods,,
"Sausage, Turkey Breakfast",Freezer,Meat,Breakfast,
"Sausage, Chorizo",Freezer,Meat,Protein,
"Sausage, Red Hot",Freezer,Meat,Protein,
Scallions,Refrigerator,Fresh Produce - Aromatics,,
Seeds: chia,Pantry,Dried Fruit/Nuts,,
Seeds: flax,Pantry,Dried Fruit/Nuts,,
Seeds: sunflower,Pantry,Dried Fruit/Nuts,,
Sesame seeds,Pantry,Dried Herbs and Spices,,
Crab Meat,Freezer,Seafood,Protein,
Shrimp,Freezer,Seafood,Protein,
Soy sauce or tamari,Pantry/Refrigerator,Condiments,,
Fresh spinach,Refrigerator,Fresh Produce - Vegetable,Vegetable,
Frozen spinach,Freezer,Frozen Produce,Vegetable,
Frozen stir-fry vegetables,Freezer,Frozen Produce,Vegetable,
Sweeteners,Pantry,Baking,,
"Tea, Chai",Pantry,Dry Goods,,
"Tea, Matcha",Pantry,Dry Goods,,
"Tea, Hibiscus",Pantry,Dry Goods,,Whole flower is best.
"Tea, Green",Pantry,Dry Goods,,
Dried thyme,Pantry,Dried Herbs and Spices,,
Fresh thyme,Refrigerator,Fresh Produce - Herbs,,
Toasted sesame oil,Pantry,Condiments,,
Tomato paste,Pantry,Canned Goods,,
Canned tomatoes,Pantry,Canned Goods,,
Fresh tomatoes,Refrigerator,Fresh Produce - Vegetable,,
Tortillas,Pantry,Snacks and Cereals,,
Tuna,Pantry,Canned Goods,Protein,
Unsalted butter,Refrigerator,Dairy and Eggs,,
Vanilla ice cream,Freezer,Frozen Dessert,,
Vegetable oil,Pantry,Basics,,
"Nuts, Walnuts",Pantry,Dried Fruit/Nuts,,
Water,Pantry,Water,,
White rice (jasmine or basmati),Pantry,Rice and Grains,,
Nutmeg,Pantry,Dried Herbs and Spices,,
Worcestershire sauce,Pantry/Refrigerator,Condiments,,
Harissa,Pantry,Dried Herbs and Spices,,
Trail Mix,Pantry,Dried Fruit/Nuts,,
